Program Name,Department,GPA,GRE Score,TOEFL Score,Admission Accepted
Human-Centered Computing,Information Systems,3.81,298,110,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.44,338,86,No
Data Science,Information Systems,3.29,316,99,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.69,315,109,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.32,298,111,No
Electrical Engineering,Electrical Engineering,3.69,321,95,No
Engineering Management,Engineering Management,3.45,303,104,Yes
Computer Science,Computer Science,3.93,327,108,No
Computer Engineering,Computer Science & Electrical Engineering,3.36,336,112,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.44,330,92,Yes
Cybersecurity,Information Systems,3.8,319,107,Yes
Health Information Technology,Information Systems,3.31,336,111,Yes
Electrical Engineering,Electrical Engineering,3.24,320,116,Yes
Environmental Engineering,Civil & Environmental Engineering,3.7,315,115,No
Environmental Engineering,Civil & Environmental Engineering,3.67,308,116,Yes
Cybersecurity,Information Systems,3.31,335,99,Yes
Data Science,Information Systems,3.88,339,95,Yes
Electrical Engineering,Electrical Engineering,3.7,301,93,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.51,337,95,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.56,291,100,No
Data Science,Information Systems,3.41,294,91,Yes
Engineering Management,Engineering Management,3.57,340,97,Yes
Health Information Technology,Information Systems,3.46,335,109,Yes
Environmental Engineering,Civil & Environmental Engineering,3.51,295,117,Yes
Environmental Engineering,Civil & Environmental Engineering,3.74,292,101,Yes
Computer Science,Computer Science,3.78,332,119,No
Electrical Engineering,Electrical Engineering,3.35,298,98,Yes
Human-Centered Computing,Information Systems,3.56,303,116,No
Data Science,Information Systems,3.87,303,93,Yes
Data Science,Information Systems,3.48,309,108,Yes
Electrical Engineering,Electrical Engineering,3.88,322,106,Yes
Cybersecurity,Information Systems,3.71,327,120,Yes
Computer Science,Computer Science,3.89,319,101,Yes
Health Information Technology,Information Systems,3.62,305,93,Yes
Engineering Management,Engineering Management,3.48,320,110,Yes
Computer Science,Computer Science,3.94,333,103,Yes
Environmental Engineering,Civil & Environmental Engineering,3.83,317,100,Yes
Environmental Engineering,Civil & Environmental Engineering,3.81,294,118,Yes
Engineering Management,Engineering Management,3.31,293,106,Yes
Engineering Management,Engineering Management,3.99,331,100,Yes
Electrical Engineering,Electrical Engineering,3.49,306,98,Yes
Human-Centered Computing,Information Systems,3.92,309,104,No
Computer Science,Computer Science,3.93,322,118,Yes
Electrical Engineering,Electrical Engineering,3.81,303,110,No
Environmental Engineering,Civil & Environmental Engineering,3.75,331,119,No
Human-Centered Computing,Information Systems,3.59,318,105,Yes
Health Information Technology,Information Systems,3.54,315,97,No
Electrical Engineering,Electrical Engineering,3.78,309,100,Yes
Health Information Technology,Information Systems,3.88,325,105,Yes
Electrical Engineering,Electrical Engineering,3.7,297,102,Yes
Environmental Engineering,Civil & Environmental Engineering,3.61,295,116,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.02,325,82,Yes
Electrical Engineering,Electrical Engineering,3.34,339,93,Yes
Computer Science,Computer Science,3.58,299,104,No
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.45,301,86,Yes
Environmental Engineering,Civil & Environmental Engineering,3.5,290,114,Yes
Data Science,Information Systems,3.26,299,95,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.44,311,117,Yes
Computer Science,Computer Science,3.65,318,113,Yes
Human-Centered Computing,Information Systems,3.75,338,115,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,4.0,322,96,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.91,304,112,Yes
Electrical Engineering,Electrical Engineering,3.88,327,99,Yes
Computer Science,Computer Science,3.61,334,101,No
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.42,318,101,No
Cybersecurity,Information Systems,3.83,306,104,Yes
Environmental Engineering,Civil & Environmental Engineering,3.69,340,119,Yes
Electrical Engineering,Electrical Engineering,3.96,290,107,Yes
Electrical Engineering,Electrical Engineering,3.23,321,119,Yes
Electrical Engineering,Electrical Engineering,3.75,305,102,Yes
Health Information Technology,Information Systems,3.87,292,119,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.51,290,104,No
Data Science,Information Systems,3.29,300,117,Yes
Computer Science,Computer Science,3.95,300,101,Yes
Data Science,Information Systems,3.57,295,120,Yes
Cybersecurity,Information Systems,3.46,314,93,Yes
Engineering Management,Engineering Management,3.32,293,89,Yes
Data Science,Information Systems,3.29,293,101,No
Electrical Engineering,Electrical Engineering,3.57,307,106,Yes
Engineering Management,Engineering Management,3.83,340,113,Yes
Electrical Engineering,Electrical Engineering,3.72,334,109,Yes
Human-Centered Computing,Information Systems,3.82,296,111,Yes
Environmental Engineering,Civil & Environmental Engineering,3.77,310,104,Yes
Electrical Engineering,Electrical Engineering,3.88,290,106,No
Cybersecurity,Information Systems,3.89,310,101,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.8,311,81,Yes
Cybersecurity,Information Systems,3.38,327,111,No
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.94,331,86,Yes
Engineering Management,Engineering Management,3.74,330,93,Yes
Cybersecurity,Information Systems,3.54,316,116,Yes
Human-Centered Computing,Information Systems,3.6,339,108,Yes
Electrical Engineering,Electrical Engineering,3.88,318,91,Yes
Computer Science,Computer Science,3.93,292,111,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.94,334,80,Yes
Cybersecurity,Information Systems,3.13,291,100,Yes
Cybersecurity,Information Systems,3.67,335,107,No
Data Science,Information Systems,3.89,311,102,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.52,303,107,No
Computer Science,Computer Science,3.91,298,116,No
Environmental Engineering,Civil & Environmental Engineering,3.8,327,104,No
Health Information Technology,Information Systems,3.66,311,90,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.02,304,115,Yes
Cybersecurity,Information Systems,3.62,337,109,Yes
Health Information Technology,Information Systems,3.63,314,106,Yes
Cybersecurity,Information Systems,3.19,309,118,Yes
Environmental Engineering,Civil & Environmental Engineering,3.63,297,114,Yes
Data Science,Information Systems,3.92,302,113,No
Data Science,Information Systems,3.44,312,100,No
Environmental Engineering,Civil & Environmental Engineering,3.51,307,111,No
Engineering Management,Engineering Management,3.85,329,80,No
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.03,301,101,Yes
Computer Science,Computer Science,3.95,293,106,Yes
Data Science,Information Systems,3.87,303,102,Yes
Engineering Management,Engineering Management,3.4,297,110,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.89,322,117,No
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.37,303,89,Yes
Cybersecurity,Information Systems,3.29,334,106,Yes
Health Information Technology,Information Systems,3.79,304,106,No
Cybersecurity,Information Systems,3.14,296,91,Yes
Engineering Management,Engineering Management,3.39,327,88,No
Cybersecurity,Information Systems,3.19,321,88,Yes
Computer Science,Computer Science,3.71,337,108,Yes
Computer Science,Computer Science,3.99,302,111,Yes
Human-Centered Computing,Information Systems,3.77,337,119,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.71,325,120,Yes
Health Information Technology,Information Systems,3.31,325,104,Yes
Health Information Technology,Information Systems,3.47,322,95,Yes
Engineering Management,Engineering Management,3.43,300,120,No
Health Information Technology,Information Systems,3.73,301,108,No
Human-Centered Computing,Information Systems,3.85,318,108,Yes
Computer Science,Computer Science,3.65,292,107,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.61,295,111,Yes
Environmental Engineering,Civil & Environmental Engineering,3.52,301,107,Yes
Engineering Management,Engineering Management,3.32,297,81,Yes
Environmental Engineering,Civil & Environmental Engineering,3.95,312,109,Yes
Computer Science,Computer Science,3.84,309,113,Yes
Cybersecurity,Information Systems,3.33,316,84,Yes
Electrical Engineering,Electrical Engineering,3.76,331,107,No
Human-Centered Computing,Information Systems,3.6,302,100,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.0,325,100,No
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.46,327,107,Yes
Environmental Engineering,Civil & Environmental Engineering,3.55,318,108,No
Human-Centered Computing,Information Systems,4.0,318,103,No
Environmental Engineering,Civil & Environmental Engineering,3.97,291,113,Yes
Human-Centered Computing,Information Systems,3.55,306,105,Yes
Human-Centered Computing,Information Systems,3.88,316,106,No
Computer Science,Computer Science,3.78,310,109,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.38,303,85,Yes
Electrical Engineering,Electrical Engineering,3.3,311,116,Yes
Computer Science,Computer Science,3.88,330,100,Yes
Computer Science,Computer Science,4.0,326,116,No
Engineering Management,Engineering Management,3.76,336,89,Yes
Computer Science,Computer Science,3.92,294,104,No
Cybersecurity,Information Systems,3.24,333,86,No
Data Science,Information Systems,3.65,337,94,Yes
Cybersecurity,Information Systems,3.07,318,82,Yes
Electrical Engineering,Electrical Engineering,3.97,327,108,Yes
Computer Science,Computer Science,3.51,294,105,No
Computer Science,Computer Science,3.89,320,107,Yes
Engineering Management,Engineering Management,3.9,324,95,No
Electrical Engineering,Electrical Engineering,3.7,298,92,Yes
Data Science,Information Systems,3.22,302,91,Yes
Computer Science,Computer Science,3.7,319,117,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.67,293,100,Yes
Health Information Technology,Information Systems,3.73,292,91,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.61,315,120,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.58,336,83,Yes
Computer Science,Computer Science,3.89,311,118,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.42,314,118,No
Computer Science,Computer Science,3.86,327,117,Yes
Engineering Management,Engineering Management,3.57,295,105,No
Environmental Engineering,Civil & Environmental Engineering,3.89,290,102,Yes
Engineering Management,Engineering Management,3.32,332,107,Yes
Engineering Management,Engineering Management,3.9,296,120,Yes
Health Information Technology,Information Systems,3.5,335,107,Yes
Computer Science,Computer Science,3.54,318,109,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.63,332,107,Yes
Environmental Engineering,Civil & Environmental Engineering,3.64,329,117,Yes
Data Science,Information Systems,3.35,314,115,Yes
Cybersecurity,Information Systems,3.44,299,86,Yes
Computer Science,Computer Science,3.56,337,117,No
Computer Science,Computer Science,3.96,306,112,No
Health Information Technology,Information Systems,3.03,323,118,Yes
Engineering Management,Engineering Management,3.53,310,115,No
Health Information Technology,Information Systems,3.81,313,115,Yes
Environmental Engineering,Civil & Environmental Engineering,3.51,304,114,Yes
Electrical Engineering,Electrical Engineering,3.86,293,93,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.7,304,107,Yes
Computer Science,Computer Science,3.65,313,111,No
Cybersecurity,Information Systems,3.53,293,83,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.31,305,103,Yes
Environmental Engineering,Civil & Environmental Engineering,3.5,329,104,Yes
Health Information Technology,Information Systems,3.19,310,116,No
Electrical Engineering,Electrical Engineering,3.88,296,98,Yes
Human-Centered Computing,Information Systems,3.77,333,110,Yes
Data Science,Information Systems,3.99,313,109,Yes
Cybersecurity,Information Systems,3.19,299,119,Yes
Engineering Management,Engineering Management,3.07,340,82,Yes
Cybersecurity,Information Systems,3.48,317,114,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.95,336,116,Yes
Engineering Management,Engineering Management,3.08,291,116,Yes
Health Information Technology,Information Systems,3.62,308,114,Yes
Environmental Engineering,Civil & Environmental Engineering,3.52,330,114,No
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.88,305,109,Yes
Environmental Engineering,Civil & Environmental Engineering,3.54,311,106,No
Environmental Engineering,Civil & Environmental Engineering,3.79,323,106,No
Environmental Engineering,Civil & Environmental Engineering,3.54,295,120,Yes
Electrical Engineering,Electrical Engineering,3.66,307,97,Yes
Data Science,Information Systems,3.77,313,102,Yes
Human-Centered Computing,Information Systems,3.78,340,113,No
Computer Science,Computer Science,3.8,296,114,Yes
Engineering Management,Engineering Management,3.95,330,106,No
Electrical Engineering,Electrical Engineering,3.88,340,92,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.65,317,120,Yes
Environmental Engineering,Civil & Environmental Engineering,3.66,294,104,No
Data Science,Information Systems,3.41,314,110,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.79,296,80,No
Electrical Engineering,Electrical Engineering,3.78,298,111,Yes
Cybersecurity,Information Systems,3.32,340,91,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.83,308,82,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.93,323,109,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.71,340,98,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.41,330,98,No
Health Information Technology,Information Systems,3.85,309,107,Yes
Engineering Management,Engineering Management,3.33,336,102,Yes
Human-Centered Computing,Information Systems,3.72,333,104,No
Health Information Technology,Information Systems,3.53,327,105,No
Data Science,Information Systems,3.51,320,119,No
Engineering Management,Engineering Management,3.02,301,115,No
Electrical Engineering,Electrical Engineering,3.28,310,97,No
Data Science,Information Systems,3.61,296,98,Yes
Cybersecurity,Information Systems,3.36,314,92,No
Data Science,Information Systems,3.29,332,101,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.3,335,98,Yes
Data Science,Information Systems,3.32,293,98,No
Electrical Engineering,Electrical Engineering,3.36,331,91,Yes
Human-Centered Computing,Information Systems,3.5,304,113,Yes
Electrical Engineering,Electrical Engineering,3.28,309,92,Yes
Human-Centered Computing,Information Systems,3.98,308,106,No
Human-Centered Computing,Information Systems,3.58,297,119,Yes
Engineering Management,Engineering Management,3.86,314,113,No
Human-Centered Computing,Information Systems,3.54,291,112,Yes
Cybersecurity,Information Systems,3.43,326,108,Yes
Electrical Engineering,Electrical Engineering,3.68,323,110,No
Engineering Management,Engineering Management,3.28,323,102,Yes
Data Science,Information Systems,3.88,300,97,Yes
Electrical Engineering,Electrical Engineering,3.84,309,94,Yes
Health Information Technology,Information Systems,3.92,317,107,Yes
Cybersecurity,Information Systems,3.9,294,86,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.69,333,96,Yes
Health Information Technology,Information Systems,3.1,326,101,No
Health Information Technology,Information Systems,3.17,328,109,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.35,332,80,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.4,337,95,Yes
Computer Science,Computer Science,4.0,316,103,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.9,303,90,No
Computer Engineering,Computer Science & Electrical Engineering,3.25,301,99,Yes
Computer Science,Computer Science,3.97,290,112,Yes
Electrical Engineering,Electrical Engineering,3.27,306,106,No
Health Information Technology,Information Systems,3.93,324,111,Yes
Human-Centered Computing,Information Systems,3.54,309,116,No
Computer Engineering,Computer Science & Electrical Engineering,3.5,324,88,Yes
Cybersecurity,Information Systems,3.88,296,107,Yes
Health Information Technology,Information Systems,3.88,335,110,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.72,334,119,Yes
Computer Science,Computer Science,3.99,319,108,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.83,316,112,Yes
Human-Centered Computing,Information Systems,3.9,309,116,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.51,324,98,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.4,317,90,No
Electrical Engineering,Electrical Engineering,3.69,302,117,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.85,319,105,Yes
Environmental Engineering,Civil & Environmental Engineering,3.77,299,109,No
Computer Science,Computer Science,3.65,321,112,Yes
Engineering Management,Engineering Management,3.73,301,108,No
Electrical Engineering,Electrical Engineering,3.66,296,112,No
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.4,313,91,Yes
Cybersecurity,Information Systems,3.58,299,106,Yes
Cybersecurity,Information Systems,3.31,307,100,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.7,334,103,Yes
Environmental Engineering,Civil & Environmental Engineering,3.87,334,120,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.73,339,88,Yes
Computer Science,Computer Science,3.52,293,120,Yes
Engineering Management,Engineering Management,3.6,307,107,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.53,298,105,Yes
Human-Centered Computing,Information Systems,3.55,331,112,Yes
Environmental Engineering,Civil & Environmental Engineering,3.74,292,104,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.16,306,98,Yes
Cybersecurity,Information Systems,3.82,308,89,Yes
Cybersecurity,Information Systems,3.38,322,102,Yes
Health Information Technology,Information Systems,3.73,313,93,Yes
Cybersecurity,Information Systems,3.52,294,91,Yes
Computer Science,Computer Science,3.77,330,116,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.56,323,84,Yes
Data Science,Information Systems,3.35,316,112,No
Cybersecurity,Information Systems,3.36,326,101,No
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.58,326,98,Yes
Data Science,Information Systems,3.24,315,110,Yes
Human-Centered Computing,Information Systems,3.52,300,113,Yes
Health Information Technology,Information Systems,3.42,338,102,No
Computer Science,Computer Science,3.58,339,114,Yes
Health Information Technology,Information Systems,3.03,306,112,Yes
Human-Centered Computing,Information Systems,3.83,316,111,Yes
Computer Science,Computer Science,3.94,315,100,Yes
Electrical Engineering,Electrical Engineering,3.65,301,97,Yes
Health Information Technology,Information Systems,3.41,326,116,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.72,336,114,Yes
Electrical Engineering,Electrical Engineering,3.24,326,107,Yes
Health Information Technology,Information Systems,3.29,320,91,No
Computer Engineering,Computer Science & Electrical Engineering,3.63,331,85,No
Computer Engineering,Computer Science & Electrical Engineering,3.78,328,103,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.95,324,99,No
Electrical Engineering,Electrical Engineering,3.37,336,108,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.82,330,114,No
Data Science,Information Systems,3.29,310,116,No
Computer Science,Computer Science,3.67,325,117,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.92,303,120,Yes
Cybersecurity,Information Systems,3.84,302,112,Yes
Data Science,Information Systems,3.9,323,103,Yes
Cybersecurity,Information Systems,3.36,302,88,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.4,307,118,No
Data Science,Information Systems,3.83,305,103,Yes
Data Science,Information Systems,3.76,304,103,No
Cybersecurity,Information Systems,3.97,331,105,Yes
Cybersecurity,Information Systems,3.26,335,104,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.28,306,105,No
Cybersecurity,Information Systems,3.93,305,116,Yes
Data Science,Information Systems,3.96,290,98,Yes
Electrical Engineering,Electrical Engineering,3.37,298,118,No
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.43,326,87,Yes
Electrical Engineering,Electrical Engineering,3.95,328,106,No
Environmental Engineering,Civil & Environmental Engineering,3.82,302,101,No
Electrical Engineering,Electrical Engineering,3.56,320,91,Yes
Electrical Engineering,Electrical Engineering,3.64,312,96,No
Engineering Management,Engineering Management,3.83,300,80,Yes
Cybersecurity,Information Systems,3.61,314,118,No
Computer Engineering,Computer Science & Electrical Engineering,3.45,306,81,Yes
Computer Science,Computer Science,3.75,298,103,No
Computer Engineering,Computer Science & Electrical Engineering,3.43,306,98,Yes
Engineering Management,Engineering Management,3.87,298,104,Yes
Environmental Engineering,Civil & Environmental Engineering,3.75,330,102,Yes
Electrical Engineering,Electrical Engineering,3.54,328,114,Yes
Human-Centered Computing,Information Systems,3.67,340,103,Yes
Electrical Engineering,Electrical Engineering,3.37,309,107,Yes
Data Science,Information Systems,4.0,323,97,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.85,300,109,No
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.8,307,109,Yes
Computer Science,Computer Science,3.88,327,107,No
Engineering Management,Engineering Management,3.58,322,90,Yes
Cybersecurity,Information Systems,3.46,295,114,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.38,340,109,No
Human-Centered Computing,Information Systems,3.93,331,104,Yes
Environmental Engineering,Civil & Environmental Engineering,3.75,303,113,No
Computer Science,Computer Science,3.55,311,111,Yes
Environmental Engineering,Civil & Environmental Engineering,3.75,337,108,Yes
Environmental Engineering,Civil & Environmental Engineering,3.56,306,111,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.32,319,118,Yes
Cybersecurity,Information Systems,3.26,304,101,Yes
Electrical Engineering,Electrical Engineering,3.32,299,96,Yes
Environmental Engineering,Civil & Environmental Engineering,4.0,319,111,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.31,291,120,Yes
Human-Centered Computing,Information Systems,3.94,295,106,Yes
Engineering Management,Engineering Management,3.45,335,89,Yes
