Student ID,Interests,Career Goals,Matched Courses
99,Strategic Planning,Computer Engineering,"Engineering Management, Cybersecurity"
100,Statistics,Data Science,Data Science
101,Information Security,Engineering Management,"Information Systems, Cybersecurity"
102,Electronic Health Records,Data Science,"Health Information Technology, Electrical Engineering"
103,Process Optimization,Human-Centered Computing,"Chemical & Biochemical Engineering, Information Systems"
104,Computer Architecture,Chemical & Biochemical Engineering,"Computer Engineering, Health Information Technology"
105,Information Security,Computer Engineering,"Information Systems, Software Engineering"
106,Statistics,Cybersecurity,"Data Science, Health Information Technology"
107,Artificial Intelligence,Cybersecurity,"Computer Science, Cybersecurity"
108,Strategic Planning,Chemical & Biochemical Engineering,"Engineering Management, Electrical Engineering"
109,Software Development,Health Information Technology,"Software Engineering, Environmental Engineering"
110,Artificial Intelligence,Computer Science,Computer Science
111,Human-Computer Interaction,Information Systems,"Human-Centered Computing, Health Information Technology"
112,Process Optimization,Environmental Engineering,"Chemical & Biochemical Engineering, Computer Science"
113,Computer Architecture,Cybersecurity,"Computer Engineering, Environmental Engineering"
114,Power Systems,Cybersecurity,"Electrical Engineering, Health Information Technology"
115,Agile Methodologies,Cybersecurity,"Software Engineering, Computer Engineering"
116,Embedded Systems,Information Systems,"Computer Engineering, Computer Science"
117,Computer Architecture,Health Information Technology,"Computer Engineering, Chemical & Biochemical Engineering"
118,Ethical Hacking,Electrical Engineering,"Cybersecurity, Environmental Engineering"
119,Sustainability,Computer Engineering,"Environmental Engineering, Electrical Engineering"
120,Statistics,Environmental Engineering,"Data Science, Engineering Management"
121,Ethical Hacking,Information Systems,"Cybersecurity, Computer Science"
122,Electronics,Health Information Technology,"Electrical Engineering, Software Engineering"
123,Electronic Health Records,Environmental Engineering,"Health Information Technology, Cybersecurity"
124,Database Management,Data Science,"Information Systems, Chemical & Biochemical Engineering"
125,Pollution Control,Software Engineering,"Environmental Engineering, Electrical Engineering"
126,Healthcare Systems,Information Systems,"Health Information Technology, Computer Science"
127,Electronics,Human-Centered Computing,"Electrical Engineering, Human-Centered Computing"
128,Strategic Planning,Engineering Management,Engineering Management
129,Agile Methodologies,Health Information Technology,"Software Engineering, Cybersecurity"
130,Algorithms,Chemical & Biochemical Engineering,"Computer Science, Health Information Technology"
131,Pollution Control,Computer Science,"Environmental Engineering, Human-Centered Computing"
132,Software Development,Computer Engineering,"Software Engineering, Information Systems"
133,Statistics,Human-Centered Computing,"Data Science, Cybersecurity"
134,Machine Learning,Human-Centered Computing,"Computer Science, Environmental Engineering"
135,Electronic Health Records,Cybersecurity,"Health Information Technology, Information Systems"
136,Control Systems,Computer Engineering,"Electrical Engineering, Computer Science"
137,Leadership,Environmental Engineering,"Engineering Management, Software Engineering"
138,Control Systems,Engineering Management,"Electrical Engineering, Information Systems"
139,Ethical Hacking,Electrical Engineering,"Cybersecurity, Data Science"
140,Database Management,Information Systems,Information Systems
141,Biochemistry,Chemical & Biochemical Engineering,Chemical & Biochemical Engineering
142,Software Development,Information Systems,"Software Engineering, Computer Engineering"
143,Electronic Health Records,Environmental Engineering,"Health Information Technology, Information Systems"
144,Electronic Health Records,Software Engineering,"Health Information Technology, Information Systems"
145,Computer Architecture,Cybersecurity,"Computer Engineering, Chemical & Biochemical Engineering"
146,Leadership,Software Engineering,"Engineering Management, Cybersecurity"
147,Computer Architecture,Software Engineering,"Computer Engineering, Computer Science"
148,Data Mining,Computer Science,"Data Science, Chemical & Biochemical Engineering"
149,Sustainability,Information Systems,"Environmental Engineering, Engineering Management"
150,VLSI Design,Cybersecurity,"Computer Engineering, Cybersecurity"
151,Health Informatics,Chemical & Biochemical Engineering,"Health Information Technology, Data Science"
152,Agile Methodologies,Information Systems,"Software Engineering, Environmental Engineering"
153,Ethical Hacking,Electrical Engineering,"Cybersecurity, Computer Science"
154,Environmental Science,Computer Science,"Environmental Engineering, Chemical & Biochemical Engineering"
155,Cryptography,Human-Centered Computing,"Cybersecurity, Computer Science"
156,Usability Testing,Data Science,"Human-Centered Computing, Computer Engineering"
157,Process Optimization,Data Science,"Chemical & Biochemical Engineering, Computer Engineering"
158,User Experience Design,Electrical Engineering,"Human-Centered Computing, Electrical Engineering"
159,Strategic Planning,Chemical & Biochemical Engineering,"Engineering Management, Computer Engineering"
160,Healthcare Systems,Computer Engineering,"Health Information Technology, Engineering Management"
161,Health Informatics,Chemical & Biochemical Engineering,"Health Information Technology, Chemical & Biochemical Engineering"
162,Environmental Science,Health Information Technology,"Environmental Engineering, Health Information Technology"
163,Database Management,Engineering Management,"Information Systems, Computer Engineering"
164,Computer Architecture,Computer Engineering,Computer Engineering
165,Network Security,Cybersecurity,Cybersecurity
166,Network Security,Software Engineering,"Cybersecurity, Health Information Technology"
167,Health Informatics,Software Engineering,"Health Information Technology, Environmental Engineering"
168,Computer Architecture,Health Information Technology,"Computer Engineering, Environmental Engineering"
169,Human-Computer Interaction,Human-Centered Computing,Human-Centered Computing
170,Computer Architecture,Electrical Engineering,"Computer Engineering, Human-Centered Computing"
171,Software Development,Human-Centered Computing,"Software Engineering, Chemical & Biochemical Engineering"
172,Network Security,Computer Engineering,"Cybersecurity, Chemical & Biochemical Engineering"
173,Cryptography,Health Information Technology,"Cybersecurity, Health Information Technology"
174,User Experience Design,Engineering Management,"Human-Centered Computing, Cybersecurity"
175,Machine Learning,Computer Science,Computer Science
176,Pollution Control,Environmental Engineering,Environmental Engineering
177,Electronic Health Records,Electrical Engineering,"Health Information Technology, Electrical Engineering"
178,VLSI Design,Environmental Engineering,"Computer Engineering, Data Science"
179,Chemistry,Electrical Engineering,"Chemical & Biochemical Engineering, Electrical Engineering"
180,Ethical Hacking,Computer Engineering,"Cybersecurity, Environmental Engineering"
181,VLSI Design,Electrical Engineering,"Computer Engineering, Health Information Technology"
182,Electronics,Engineering Management,"Electrical Engineering, Computer Engineering"
183,Artificial Intelligence,Health Information Technology,"Computer Science, Health Information Technology"
184,Biochemistry,Health Information Technology,"Chemical & Biochemical Engineering, Information Systems"
185,Project Management,Cybersecurity,"Software Engineering, Cybersecurity"
186,User Experience Design,Information Systems,"Human-Centered Computing, Software Engineering"
187,Healthcare Systems,Chemical & Biochemical Engineering,"Health Information Technology, Chemical & Biochemical Engineering"
188,Computer Architecture,Software Engineering,"Computer Engineering, Computer Science"
189,Information Security,Engineering Management,"Information Systems, Chemical & Biochemical Engineering"
190,Database Management,Human-Centered Computing,"Information Systems, Human-Centered Computing"
191,Leadership,Computer Engineering,"Engineering Management, Cybersecurity"
192,Project Management,Environmental Engineering,"Software Engineering, Chemical & Biochemical Engineering"
193,Database Management,Computer Engineering,"Information Systems, Cybersecurity"
194,Environmental Science,Data Science,"Environmental Engineering, Software Engineering"
195,Process Optimization,Data Science,"Chemical & Biochemical Engineering, Information Systems"
196,VLSI Design,Electrical Engineering,"Computer Engineering, Health Information Technology"
197,Data Mining,Health Information Technology,"Data Science, Computer Science"
198,Process Optimization,Chemical & Biochemical Engineering,Chemical & Biochemical Engineering
199,User Experience Design,Computer Science,"Human-Centered Computing, Engineering Management"
200,Pollution Control,Cybersecurity,"Environmental Engineering, Health Information Technology"
201,Ethical Hacking,Computer Engineering,"Cybersecurity, Information Systems"
202,Sustainability,Software Engineering,"Environmental Engineering, Engineering Management"
203,Information Security,Human-Centered Computing,"Information Systems, Health Information Technology"
204,Project Management,Health Information Technology,"Software Engineering, Health Information Technology"
205,Algorithms,Human-Centered Computing,"Computer Science, Environmental Engineering"
206,Machine Learning,Engineering Management,"Computer Science, Electrical Engineering"
207,Leadership,Electrical Engineering,"Engineering Management, Human-Centered Computing"
208,Usability Testing,Software Engineering,"Human-Centered Computing, Engineering Management"
209,Strategic Planning,Software Engineering,"Engineering Management, Cybersecurity"
210,Database Management,Environmental Engineering,"Information Systems, Computer Engineering"
211,Pollution Control,Health Information Technology,"Environmental Engineering, Computer Engineering"
212,Network Security,Health Information Technology,"Cybersecurity, Engineering Management"
213,Healthcare Systems,Human-Centered Computing,"Health Information Technology, Software Engineering"
214,Agile Methodologies,Health Information Technology,"Software Engineering, Human-Centered Computing"
215,User Experience Design,Chemical & Biochemical Engineering,"Human-Centered Computing, Computer Science"
216,Network Security,Information Systems,"Cybersecurity, Software Engineering"
217,Usability Testing,Computer Science,"Human-Centered Computing, Software Engineering"
218,Project Management,Software Engineering,Software Engineering
219,Chemistry,Engineering Management,"Chemical & Biochemical Engineering, Cybersecurity"
220,Sustainability,Information Systems,"Environmental Engineering, Computer Science"
221,Electronics,Software Engineering,"Electrical Engineering, Human-Centered Computing"
222,Information Security,Software Engineering,"Information Systems, Health Information Technology"
223,Electronic Health Records,Data Science,"Health Information Technology, Chemical & Biochemical Engineering"
224,Computer Architecture,Computer Engineering,Computer Engineering
225,Artificial Intelligence,Chemical & Biochemical Engineering,"Computer Science, Engineering Management"
226,User Experience Design,Data Science,"Human-Centered Computing, Engineering Management"
227,Database Management,Human-Centered Computing,"Information Systems, Computer Science"
228,Health Informatics,Health Information Technology,Health Information Technology
229,Agile Methodologies,Computer Engineering,"Software Engineering, Environmental Engineering"
230,Strategic Planning,Cybersecurity,"Engineering Management, Information Systems"
231,Artificial Intelligence,Human-Centered Computing,"Computer Science, Health Information Technology"
232,Machine Learning,Cybersecurity,"Computer Science, Cybersecurity"
233,Health Informatics,Information Systems,"Health Information Technology, Cybersecurity"
234,Statistics,Human-Centered Computing,"Data Science, Computer Engineering"
235,Project Management,Software Engineering,Software Engineering
236,Chemistry,Cybersecurity,"Chemical & Biochemical Engineering, Information Systems"
237,Ethical Hacking,Engineering Management,"Cybersecurity, Chemical & Biochemical Engineering"
238,Usability Testing,Data Science,"Human-Centered Computing, Engineering Management"
239,Healthcare Systems,Computer Engineering,"Health Information Technology, Data Science"
240,Agile Methodologies,Software Engineering,Software Engineering
241,Power Systems,Environmental Engineering,"Electrical Engineering, Chemical & Biochemical Engineering"
242,Sustainability,Computer Engineering,"Environmental Engineering, Cybersecurity"
243,Usability Testing,Data Science,"Human-Centered Computing, Information Systems"
244,Environmental Science,Computer Engineering,"Environmental Engineering, Software Engineering"
245,Leadership,Data Science,"Engineering Management, Software Engineering"
246,Embedded Systems,Environmental Engineering,"Computer Engineering, Computer Science"
247,Sustainability,Computer Engineering,"Environmental Engineering, Human-Centered Computing"
248,Strategic Planning,Environmental Engineering,"Engineering Management, Software Engineering"
249,Machine Learning,Engineering Management,"Computer Science, Information Systems"
250,Artificial Intelligence,Computer Engineering,"Computer Science, Cybersecurity"
251,Statistics,Computer Science,"Data Science, Electrical Engineering"
252,VLSI Design,Software Engineering,"Computer Engineering, Environmental Engineering"
253,Chemistry,Human-Centered Computing,"Chemical & Biochemical Engineering, Computer Engineering"
254,Artificial Intelligence,Software Engineering,"Computer Science, Health Information Technology"
255,Control Systems,Engineering Management,"Electrical Engineering, Human-Centered Computing"
256,Control Systems,Engineering Management,"Electrical Engineering, Cybersecurity"
257,Ethical Hacking,Engineering Management,"Cybersecurity, Human-Centered Computing"
258,Embedded Systems,Health Information Technology,"Computer Engineering, Health Information Technology"
259,Usability Testing,Human-Centered Computing,Human-Centered Computing
260,Human-Computer Interaction,Environmental Engineering,"Human-Centered Computing, Software Engineering"
261,Cryptography,Information Systems,"Cybersecurity, Health Information Technology"
262,User Experience Design,Health Information Technology,"Human-Centered Computing, Cybersecurity"
263,Leadership,Human-Centered Computing,"Engineering Management, Software Engineering"
264,Information Security,Environmental Engineering,"Information Systems, Human-Centered Computing"
265,Leadership,Computer Engineering,"Engineering Management, Information Systems"
266,Health Informatics,Chemical & Biochemical Engineering,"Health Information Technology, Chemical & Biochemical Engineering"
267,Biochemistry,Cybersecurity,"Chemical & Biochemical Engineering, Electrical Engineering"
268,Algorithms,Electrical Engineering,"Computer Science, Cybersecurity"
269,Information Security,Human-Centered Computing,"Information Systems, Human-Centered Computing"
270,Electronics,Information Systems,"Electrical Engineering, Health Information Technology"
271,Human-Computer Interaction,Chemical & Biochemical Engineering,"Human-Centered Computing, Computer Engineering"
272,Network Security,Information Systems,"Cybersecurity, Engineering Management"
273,Statistics,Computer Science,"Data Science, Health Information Technology"
274,Algorithms,Health Information Technology,"Computer Science, Data Science"
275,Artificial Intelligence,Chemical & Biochemical Engineering,"Computer Science, Engineering Management"
276,Statistics,Computer Engineering,"Data Science, Information Systems"
277,Machine Learning,Engineering Management,"Computer Science, Engineering Management"
278,Electronics,Electrical Engineering,Electrical Engineering
279,Sustainability,Electrical Engineering,"Environmental Engineering, Computer Engineering"
280,Control Systems,Software Engineering,"Electrical Engineering, Computer Science"
281,Healthcare Systems,Computer Engineering,"Health Information Technology, Computer Science"
282,Artificial Intelligence,Software Engineering,"Computer Science, Electrical Engineering"
283,Algorithms,Electrical Engineering,"Computer Science, Computer Engineering"
284,Project Management,Software Engineering,Software Engineering
285,Machine Learning,Cybersecurity,"Computer Science, Cybersecurity"
286,Environmental Science,Electrical Engineering,"Environmental Engineering, Software Engineering"
287,Healthcare Systems,Health Information Technology,Health Information Technology
288,Process Optimization,Data Science,"Chemical & Biochemical Engineering, Engineering Management"
289,Electronics,Human-Centered Computing,"Electrical Engineering, Data Science"
290,Health Informatics,Engineering Management,"Health Information Technology, Computer Science"
291,Electronic Health Records,Health Information Technology,Health Information Technology
292,Embedded Systems,Information Systems,"Computer Engineering, Information Systems"
293,Health Informatics,Engineering Management,"Health Information Technology, Software Engineering"
294,Information Security,Computer Engineering,"Information Systems, Software Engineering"
295,Healthcare Systems,Health Information Technology,Health Information Technology
296,Environmental Science,Chemical & Biochemical Engineering,"Environmental Engineering, Engineering Management"
297,Health Informatics,Software Engineering,"Health Information Technology, Electrical Engineering"
298,User Experience Design,Data Science,"Human-Centered Computing, Computer Engineering"
299,Database Management,Computer Engineering,"Information Systems, Electrical Engineering"
300,Sustainability,Computer Engineering,"Environmental Engineering, Software Engineering"
301,Machine Learning,Computer Science,Computer Science
302,Network Security,Software Engineering,"Cybersecurity, Information Systems"
303,Chemistry,Engineering Management,"Chemical & Biochemical Engineering, Cybersecurity"
304,Strategic Planning,Information Systems,"Engineering Management, Health Information Technology"
305,Project Management,Data Science,"Software Engineering, Human-Centered Computing"
306,Environmental Science,Software Engineering,"Environmental Engineering, Software Engineering"
307,Computer Architecture,Environmental Engineering,"Computer Engineering, Human-Centered Computing"
308,Biochemistry,Computer Science,"Chemical & Biochemical Engineering, Engineering Management"
309,Environmental Science,Electrical Engineering,"Environmental Engineering, Information Systems"
310,Embedded Systems,Software Engineering,"Computer Engineering, Environmental Engineering"
311,Electronics,Computer Science,"Electrical Engineering, Computer Engineering"
312,Cryptography,Cybersecurity,Cybersecurity
313,Information Security,Software Engineering,"Information Systems, Computer Science"
314,User Experience Design,Cybersecurity,"Human-Centered Computing, Computer Science"
315,Software Development,Information Systems,"Software Engineering, Environmental Engineering"
316,Environmental Science,Electrical Engineering,"Environmental Engineering, Chemical & Biochemical Engineering"
317,Algorithms,Environmental Engineering,"Computer Science, Information Systems"
318,Network Security,Human-Centered Computing,"Cybersecurity, Software Engineering"
319,User Experience Design,Cybersecurity,"Human-Centered Computing, Environmental Engineering"
320,Strategic Planning,Cybersecurity,"Engineering Management, Environmental Engineering"
321,Data Mining,Engineering Management,"Data Science, Engineering Management"
322,Leadership,Software Engineering,"Engineering Management, Chemical & Biochemical Engineering"
323,Cryptography,Environmental Engineering,"Cybersecurity, Electrical Engineering"
324,Computer Architecture,Information Systems,"Computer Engineering, Information Systems"
325,Data Mining,Software Engineering,"Data Science, Electrical Engineering"
326,Biochemistry,Information Systems,"Chemical & Biochemical Engineering, Cybersecurity"
327,Chemistry,Cybersecurity,"Chemical & Biochemical Engineering, Software Engineering"
328,Electronic Health Records,Electrical Engineering,"Health Information Technology, Computer Science"
329,VLSI Design,Chemical & Biochemical Engineering,"Computer Engineering, Health Information Technology"
330,Algorithms,Human-Centered Computing,"Computer Science, Computer Engineering"
331,Computer Architecture,Electrical Engineering,"Computer Engineering, Computer Science"
332,Usability Testing,Human-Centered Computing,Human-Centered Computing
333,Embedded Systems,Information Systems,"Computer Engineering, Health Information Technology"
334,Human-Computer Interaction,Chemical & Biochemical Engineering,"Human-Centered Computing, Computer Engineering"
335,Agile Methodologies,Human-Centered Computing,"Software Engineering, Chemical & Biochemical Engineering"
336,Network Security,Computer Science,"Cybersecurity, Software Engineering"
337,VLSI Design,Chemical & Biochemical Engineering,"Computer Engineering, Computer Science"
338,Machine Learning,Software Engineering,"Computer Science, Health Information Technology"
339,Information Security,Environmental Engineering,"Information Systems, Electrical Engineering"
340,Artificial Intelligence,Environmental Engineering,"Computer Science, Engineering Management"
341,Environmental Science,Health Information Technology,"Environmental Engineering, Information Systems"
342,Machine Learning,Data Science,"Computer Science, Cybersecurity"
343,Computer Architecture,Computer Science,"Computer Engineering, Health Information Technology"
344,Pollution Control,Computer Science,"Environmental Engineering, Data Science"
345,User Experience Design,Information Systems,"Human-Centered Computing, Engineering Management"
346,Computer Architecture,Information Systems,"Computer Engineering, Information Systems"
347,Environmental Science,Software Engineering,"Environmental Engineering, Software Engineering"
348,Machine Learning,Human-Centered Computing,"Computer Science, Data Science"
349,Strategic Planning,Data Science,"Engineering Management, Software Engineering"
350,Software Development,Engineering Management,"Software Engineering, Electrical Engineering"
351,Chemistry,Computer Engineering,"Chemical & Biochemical Engineering, Cybersecurity"
352,VLSI Design,Computer Science,"Computer Engineering, Electrical Engineering"
353,User Experience Design,Information Systems,"Human-Centered Computing, Engineering Management"
354,Information Security,Cybersecurity,"Information Systems, Electrical Engineering"
355,Network Security,Information Systems,"Cybersecurity, Information Systems"
356,Strategic Planning,Software Engineering,"Engineering Management, Health Information Technology"
357,Machine Learning,Computer Science,Computer Science
358,Pollution Control,Chemical & Biochemical Engineering,"Environmental Engineering, Data Science"
359,Usability Testing,Chemical & Biochemical Engineering,"Human-Centered Computing, Software Engineering"
360,Artificial Intelligence,Data Science,"Computer Science, Electrical Engineering"
361,Chemistry,Health Information Technology,"Chemical & Biochemical Engineering, Data Science"
362,Healthcare Systems,Data Science,"Health Information Technology, Computer Science"
363,Cryptography,Electrical Engineering,"Cybersecurity, Computer Science"
364,Health Informatics,Software Engineering,"Health Information Technology, Computer Engineering"
365,Agile Methodologies,Information Systems,"Software Engineering, Computer Engineering"
366,Strategic Planning,Human-Centered Computing,"Engineering Management, Environmental Engineering"
367,Human-Computer Interaction,Cybersecurity,"Human-Centered Computing, Engineering Management"
368,Power Systems,Computer Science,"Electrical Engineering, Environmental Engineering"
369,Agile Methodologies,Chemical & Biochemical Engineering,"Software Engineering, Human-Centered Computing"
370,Algorithms,Information Systems,"Computer Science, Human-Centered Computing"
371,Embedded Systems,Computer Science,"Computer Engineering, Engineering Management"
372,Database Management,Data Science,"Information Systems, Electrical Engineering"
373,User Experience Design,Software Engineering,"Human-Centered Computing, Data Science"
374,Project Management,Information Systems,"Software Engineering, Health Information Technology"
375,Process Optimization,Chemical & Biochemical Engineering,Chemical & Biochemical Engineering
376,Environmental Science,Engineering Management,"Environmental Engineering, Human-Centered Computing"
377,Control Systems,Human-Centered Computing,"Electrical Engineering, Health Information Technology"
378,Embedded Systems,Information Systems,"Computer Engineering, Software Engineering"
379,Statistics,Cybersecurity,"Data Science, Health Information Technology"
380,Information Security,Software Engineering,"Information Systems, Engineering Management"
381,Health Informatics,Environmental Engineering,"Health Information Technology, Information Systems"
382,Network Security,Software Engineering,"Cybersecurity, Engineering Management"
383,Human-Computer Interaction,Chemical & Biochemical Engineering,"Human-Centered Computing, Computer Science"
384,Human-Computer Interaction,Electrical Engineering,"Human-Centered Computing, Computer Engineering"
385,Sustainability,Cybersecurity,"Environmental Engineering, Human-Centered Computing"
386,Data Mining,Engineering Management,"Data Science, Engineering Management"
387,Control Systems,Chemical & Biochemical Engineering,"Electrical Engineering, Computer Science"
388,Human-Computer Interaction,Software Engineering,"Human-Centered Computing, Chemical & Biochemical Engineering"
389,Electronics,Data Science,"Electrical Engineering, Cybersecurity"
390,Chemistry,Data Science,"Chemical & Biochemical Engineering, Engineering Management"
391,Cryptography,Information Systems,"Cybersecurity, Information Systems"
392,Ethical Hacking,Cybersecurity,Cybersecurity
393,Statistics,Environmental Engineering,"Data Science, Health Information Technology"
394,Machine Learning,Electrical Engineering,"Computer Science, Data Science"
395,Information Security,Human-Centered Computing,"Information Systems, Software Engineering"
396,Algorithms,Data Science,"Computer Science, Engineering Management"
397,Information Security,Information Systems,Information Systems
398,Control Systems,Computer Engineering,"Electrical Engineering, Health Information Technology"
399,Leadership,Software Engineering,"Engineering Management, Computer Science"
400,Machine Learning,Data Science,"Computer Science, Chemical & Biochemical Engineering"
401,Usability Testing,Electrical Engineering,"Human-Centered Computing, Health Information Technology"
402,Biochemistry,Computer Engineering,"Chemical & Biochemical Engineering, Computer Science"
403,Process Optimization,Computer Science,"Chemical & Biochemical Engineering, Environmental Engineering"
404,Usability Testing,Electrical Engineering,"Human-Centered Computing, Engineering Management"
